Token,TFIDF_Value
aasa,6.529429087511423
sour,6.529429087511423
spending,6.529429087511423
spent,6.529429087511423
malumanay,6.529429087511423
maloko,6.529429087511423
maling,6.529429087511423
maliit,6.529429087511423
malayong,6.529429087511423
spikers,6.529429087511423
sponsors,6.529429087511423
sr,6.529429087511423
malakas,6.529429087511423
staff,6.529429087511423
malabnaw,6.529429087511423
makokompromiso,6.529429087511423
makilahok,6.529429087511423
makikita,6.529429087511423
makikinig,6.529429087511423
stage,6.529429087511423
stakes,6.529429087511423
makauwi,6.529429087511423
makati,6.529429087511423
makapagpalit,6.529429087511423
makapag-supply,6.529429087511423
spellings,6.529429087511423
mamuhay,6.529429087511423
man's,6.529429087511423
manifest,6.529429087511423
mapagkakatiwalaan,6.529429087511423
many,6.529429087511423
manunulat,6.529429087511423
manloloko,6.529429087511423
manipulated,6.529429087511423
manileno,6.529429087511423
manilbihan,6.529429087511423
southern,6.529429087511423
sow,6.529429087511423
manifestations,6.529429087511423
mangyayaring,6.529429087511423
manabat,6.529429087511423
mangumbinse,6.529429087511423
mangingisda,6.529429087511423
space,6.529429087511423
mangarap,6.529429087511423
mandirigmang,6.529429087511423
speaker,6.529429087511423
manay,6.529429087511423
speaking,6.529429087511423
mananalig,6.529429087511423
special,6.529429087511423
makabuluhang,6.529429087511423
makabangong,6.529429087511423
maka-proud,6.529429087511423
mabigat,6.529429087511423
mag-may,6.529429087511423
mag-aangat,6.529429087511423
madudurog,6.529429087511423
madamsirene,6.529429087511423
madame,6.529429087511423
staying,6.529429087511423
macho,6.529429087511423
steals,6.529429087511423
mabuti,6.529429087511423
mabuhay,6.529429087511423
mababang,6.529429087511423
statements,6.529429087511423
maayos,6.529429087511423
maanghang,6.529429087511423
maaapektuhan,6.529429087511423
ma'am,6.529429087511423
lutang,6.529429087511423
stem,6.529429087511423
step,6.529429087511423
lumapit,6.529429087511423
stepped,6.529429087511423
sti,6.529429087511423
maganda,6.529429087511423
magbubukid,6.529429087511423
major,6.529429087511423
magwawagi,6.529429087511423
maipapanalo,6.529429087511423
main,6.529429087511423
maibalik,6.529429087511423
mai-upo,6.529429087511423
mahyuddin/afp/getty,6.529429087511423
mahina,6.529429087511423
mahihirap,6.529429087511423
mahalal,6.529429087511423
stan,6.529429087511423
mahahalaga,6.529429087511423
magsuot,6.529429087511423
magfast,6.529429087511423
magsumite,6.529429087511423
magsaysay,6.529429087511423
magsama,6.529429087511423
magpakita,6.529429087511423
standard-bearer,6.529429087511423
started,6.529429087511423
magkaisa,6.529429087511423
magigiting,6.529429087511423
starting,6.529429087511423
magical,6.529429087511423
mapagkakatiwalahan,6.529429087511423
mapalakas,6.529429087511423
lp,6.529429087511423
sotto,6.529429087511423
minimum,6.529429087511423
sky,6.529429087511423
slowly,6.529429087511423
minarcos,6.529429087511423
minamaliit,6.529429087511423
minamahal,6.529429087511423
minaj,6.529429087511423
mimicking,6.529429087511423
milo,6.529429087511423
million,6.529429087511423
midst,6.529429087511423
michael,6.529429087511423
micah,6.529429087511423
mic,6.529429087511423
message,6.529429087511423
