Tweet,Tokens,Label,Prediction
toxic pinklawan impluwensya fushiang ina niyo,"['toxic', 'pinklawan', 'impluwensya', 'fushiang', 'ina', 'niyo']",Negative,1.0
pansin niyo mahilig post alter sexcapades bakla bisexual top bottom versa mahilig orgies group sex si choice mali talaga nakaka bother choice ganitong klase tao nakaka bother,"['pansin', 'niyo', 'mahilig', 'post', 'alter', 'sexcapades', 'bakla', 'bisexual', 'top', 'bottom', 'versa', 'mahilig', 'orgies', 'group', 'sex', 'si', 'choice', 'mali', 'talaga', 'nakaka', 'bother', 'choice', 'ganitong', 'klase', 'tao', 'nakaka', 'bother']",Negative,1.0
ngarag shunga inendorse niyo si bobong narcos noong talunan tatalunin rin vpresidente,"['ngarag', 'shunga', 'inendorse', 'niyo', 'si', 'bobong', 'narcos', 'noong', 'talunan', 'tatalunin', 'rin', 'vpresidente']",Negative,1.0
philippines presidential frontrunner using tiktok troll farms rewrite dictator father's violent past young filipinos david pierson/los angeles times,"['philippines', 'presidential', 'frontrunner', 'using', 'tiktok', 'troll', 'farms', 'rewrite', 'dictator', ""father's"", 'violent', 'past', 'young', 'filipinos', 'david', 'pierson/los', 'angeles', 'times']",Negative,1.0
years since philippines ousted dictator ferdinand namesake leading race become president,"['years', 'since', 'philippines', 'ousted', 'dictator', 'ferdinand', 'namesake', 'leading', 'race', 'become', 'president']",Negative,1.0
nagsasabing bobo si gago mas bobo kayo hahahahahaha,"['nagsasabing', 'bobo', 'si', 'gago', 'mas', 'bobo', 'kayo', 'hahahahahaha']",Negative,1.0
philippines presidential frontrunner using tiktok troll farms rewrite dictator father's violent past young filipinos david pierson/los angeles times,"['philippines', 'presidential', 'frontrunner', 'using', 'tiktok', 'troll', 'farms', 'rewrite', 'dictator', ""father's"", 'violent', 'past', 'young', 'filipinos', 'david', 'pierson/los', 'angeles', 'times']",Negative,1.0
ba alam magnanakaw si ba alam komunista npa senatorial mas nakakatawa binuboto tanga bobo,"['ba', 'alam', 'magnanakaw', 'si', 'ba', 'alam', 'komunista', 'npa', 'senatorial', 'mas', 'nakakatawa', 'binuboto', 'tanga', 'bobo']",Negative,1.0
philippines presidential frontrunner using tiktok troll farms rewrite dictator father's violent past young filipinos david pierson/los angeles times,"['philippines', 'presidential', 'frontrunner', 'using', 'tiktok', 'troll', 'farms', 'rewrite', 'dictator', ""father's"", 'violent', 'past', 'young', 'filipinos', 'david', 'pierson/los', 'angeles', 'times']",Negative,1.0
power internet rewrite history real time stunning re-elect worst dictator candidate leads despite refusing interviews debates,"['power', 'internet', 'rewrite', 'history', 'real', 'time', 'stunning', 're-elect', 'worst', 'dictator', 'candidate', 'leads', 'despite', 'refusing', 'interviews', 'debates']",Negative,1.0
toxic pinklawan impluwensya fushiang ina niyo,"['toxic', 'pinklawan', 'impluwensya', 'fushiang', 'ina', 'niyo']",Negative,1.0
bobo si vp po si boy alamano zombie utak,"['bobo', 'si', 'vp', 'po', 'si', 'boy', 'alamano', 'zombie', 'utak']",Negative,1.0
"oo ayan turo inyo robredo,ultimo pamilya kamuhian dhil lng ito'y apologist fact,parehas kayong salot aquino kayo kakampwet aquino apologist mamamatay magsasaka.mga demonyo.dba uso inyo cancel culture","['oo', 'ayan', 'turo', 'inyo', 'robredo,ultimo', 'pamilya', 'kamuhian', 'dhil', 'lng', ""ito'y"", 'apologist', 'fact,parehas', 'kayong', 'salot', 'aquino', 'kayo', 'kakampwet', 'aquino', 'apologist', 'mamamatay', 'magsasaka.mga', 'demonyo.dba', 'uso', 'inyo', 'cancel', 'culture']",Negative,1.0
philippines presidential frontrunner using tiktok troll farms rewrite dictator father's violent past young filipinos david pierson/los angeles times david pierson los angeles times philippines,"['philippines', 'presidential', 'frontrunner', 'using', 'tiktok', 'troll', 'farms', 'rewrite', 'dictator', ""father's"", 'violent', 'past', 'young', 'filipinos', 'david', 'pierson/los', 'angeles', 'times', 'david', 'pierson', 'los', 'angeles', 'times', 'philippines']",Negative,1.0
frontrunner replace duterte philippines ferdinand namesake late dictator ferdinand,"['frontrunner', 'replace', 'duterte', 'philippines', 'ferdinand', 'namesake', 'late', 'dictator', 'ferdinand']",Negative,1.0
halos yung ibang friend fb hilig share fake news abt tas caption lutang lugaw wala ba kayong ibang mababato kay puro ganyang pangungutsa nalang kala nalulutang sabaw utak lol,"['halos', 'yung', 'ibang', 'friend', 'fb', 'hilig', 'share', 'fake', 'news', 'abt', 'tas', 'caption', 'lutang', 'lugaw', 'wala', 'ba', 'kayong', 'ibang', 'mababato', 'kay', 'puro', 'ganyang', 'pangungutsa', 'nalang', 'kala', 'nalulutang', 'sabaw', 'utak', 'lol']",Negative,1.0
loser sign pinauso taga-suporta pinklawan,"['loser', 'sign', 'pinauso', 'taga-suporta', 'pinklawan']",Negative,1.0
pansin niyo mahilig post alter sexcapades bakla bisexual top bottom versa mahilig amga orgies group sex si choice mali talaga nakaka bother choice ganitong klase tao nakaka bother,"['pansin', 'niyo', 'mahilig', 'post', 'alter', 'sexcapades', 'bakla', 'bisexual', 'top', 'bottom', 'versa', 'mahilig', 'amga', 'orgies', 'group', 'sex', 'si', 'choice', 'mali', 'talaga', 'nakaka', 'bother', 'choice', 'ganitong', 'klase', 'tao', 'nakaka', 'bother']",Negative,1.0
kya nga ayaw attend debate mabibisto bobo bobo bobo si ayaw harapin bobong debate,"['kya', 'nga', 'ayaw', 'attend', 'debate', 'mabibisto', 'bobo', 'bobo', 'bobo', 'si', 'ayaw', 'harapin', 'bobong', 'debate']",Negative,1.0
philippines presidential frontrunner using tiktok troll farms rewrite dictator father's violent past young filipinos david pierson/los angeles times,"['philippines', 'presidential', 'frontrunner', 'using', 'tiktok', 'troll', 'farms', 'rewrite', 'dictator', ""father's"", 'violent', 'past', 'young', 'filipinos', 'david', 'pierson/los', 'angeles', 'times']",Negative,1.0
si blengblong aka bobong bokbok jobless junyor magnanakaw shabongbong bayag babackout,"['si', 'blengblong', 'aka', 'bobong', 'bokbok', 'jobless', 'junyor', 'magnanakaw', 'shabongbong', 'bayag', 'babackout']",Negative,1.0
panu masasabi magnanakaw eh mahirap mong presidente magnakaw wag kang ipokrito eh utak terorista pumapatay nga kayong npa terorista inosente pagnanakaw di utot gago,"['panu', 'masasabi', 'magnanakaw', 'eh', 'mahirap', 'mong', 'presidente', 'magnakaw', 'wag', 'kang', 'ipokrito', 'eh', 'utak', 'terorista', 'pumapatay', 'nga', 'kayong', 'npa', 'terorista', 'inosente', 'pagnanakaw', 'di', 'utot', 'gago']",Negative,1.0
philippines presidential frontrunner using tiktok troll farms rewrite dictator father's violent past young filipinos david pierson/los angeles times,"['philippines', 'presidential', 'frontrunner', 'using', 'tiktok', 'troll', 'farms', 'rewrite', 'dictator', ""father's"", 'violent', 'past', 'young', 'filipinos', 'david', 'pierson/los', 'angeles', 'times']",Negative,1.0
years since philippines ousted dictator ferdinand namesake leading race become president,"['years', 'since', 'philippines', 'ousted', 'dictator', 'ferdinand', 'namesake', 'leading', 'race', 'become', 'president']",Negative,1.0
stupid kakampinks tolerating another stupid pipay..magsama sama kayong bobo manang mana lutang si madumb,"['stupid', 'kakampinks', 'tolerating', 'another', 'stupid', 'pipay..magsama', 'sama', 'kayong', 'bobo', 'manang', 'mana', 'lutang', 'si', 'madumb']",Negative,1.0
wag kayong malilinlang pagpapalitan kulay tanso tubugin ginto tanso rin fake leader fake color fake character,"['wag', 'kayong', 'malilinlang', 'pagpapalitan', 'kulay', 'tanso', 'tubugin', 'ginto', 'tanso', 'rin', 'fake', 'leader', 'fake', 'color', 'fake', 'character']",Negative,1.0
smni debates matter nice debate biased shunga nyo duwag npa,"['smni', 'debates', 'matter', 'nice', 'debate', 'biased', 'shunga', 'nyo', 'duwag', 'npa']",Negative,0.9999998807907104
love highlighted absence dictator's ferdinand,"['love', 'highlighted', 'absence', ""dictator's"", 'ferdinand']",Negative,0.9999998807907104
smni debates matter nice debate biased shunga nyo duwag npa,"['smni', 'debates', 'matter', 'nice', 'debate', 'biased', 'shunga', 'nyo', 'duwag', 'npa']",Negative,0.9999998807907104
dictator's rewrites history tiktok bid become philippines next president,"[""dictator's"", 'rewrites', 'history', 'tiktok', 'bid', 'become', 'philippines', 'next', 'president']",Negative,0.9999998807907104
smni debates matter nice debate biased shunga nyo duwag npa,"['smni', 'debates', 'matter', 'nice', 'debate', 'biased', 'shunga', 'nyo', 'duwag', 'npa']",Negative,0.9999998807907104
smni debates matter nice debate biased shunga nyo duwag,"['smni', 'debates', 'matter', 'nice', 'debate', 'biased', 'shunga', 'nyo', 'duwag']",Negative,0.9999998807907104
smni debates matter nice debate biased shunga nyo duwag,"['smni', 'debates', 'matter', 'nice', 'debate', 'biased', 'shunga', 'nyo', 'duwag']",Negative,0.9999998807907104
smni debates matter nice debate biased shunga nyo duwag npa,"['smni', 'debates', 'matter', 'nice', 'debate', 'biased', 'shunga', 'nyo', 'duwag', 'npa']",Negative,0.9999998807907104
smni debates matter nice debate biased shunga nyo duwag,"['smni', 'debates', 'matter', 'nice', 'debate', 'biased', 'shunga', 'nyo', 'duwag']",Negative,0.9999998807907104
smni debates matter nice debate biased shunga nyo duwag,"['smni', 'debates', 'matter', 'nice', 'debate', 'biased', 'shunga', 'nyo', 'duwag']",Negative,0.9999998807907104
dictator's rewrites history tiktok bid become philippines next president,"[""dictator's"", 'rewrites', 'history', 'tiktok', 'bid', 'become', 'philippines', 'next', 'president']",Negative,0.9999998807907104
makakalimot mauulit parehong tangkang panunumbalik malacanang magnanakaw porma pananatili tiranikong si duterte kaniyang trono,"['makakalimot', 'mauulit', 'parehong', 'tangkang', 'panunumbalik', 'malacanang', 'magnanakaw', 'porma', 'pananatili', 'tiranikong', 'si', 'duterte', 'kaniyang', 'trono']",Negative,0.9999998807907104
smni debates matter nice debate biased shunga nyo duwag,"['smni', 'debates', 'matter', 'nice', 'debate', 'biased', 'shunga', 'nyo', 'duwag']",Negative,0.9999998807907104
smni debates matter nice debate biased shunga nyo duwag npa,"['smni', 'debates', 'matter', 'nice', 'debate', 'biased', 'shunga', 'nyo', 'duwag', 'npa']",Negative,0.9999998807907104
dictator's rewrites history tiktok bid become philippines next president,"[""dictator's"", 'rewrites', 'history', 'tiktok', 'bid', 'become', 'philippines', 'next', 'president']",Negative,0.9999998807907104
makakalimot mauulit parehong tangkang panunumbalik malacanang magnanakaw porma pananatili tiranikong si duterte kaniyang trono,"['makakalimot', 'mauulit', 'parehong', 'tangkang', 'panunumbalik', 'malacanang', 'magnanakaw', 'porma', 'pananatili', 'tiranikong', 'si', 'duterte', 'kaniyang', 'trono']",Negative,0.9999998807907104
smni debates matter nice debate biased shunga nyo duwag npa,"['smni', 'debates', 'matter', 'nice', 'debate', 'biased', 'shunga', 'nyo', 'duwag', 'npa']",Negative,0.9999998807907104
badoy nyo baduy hahhahhahaha tunog putang ins imee mocha uson putang si jam magno,"['badoy', 'nyo', 'baduy', 'hahhahhahaha', 'tunog', 'putang', 'ins', 'imee', 'mocha', 'uson', 'putang', 'si', 'jam', 'magno']",Negative,0.9999998807907104
fuck drama scholar pla bkt pinahirapan nyong maglakad ganyan initan dami nyong sasakyan panghakot us scripted lhat tlga gagamitin nyo sadly madumb still loser,"['fuck', 'drama', 'scholar', 'pla', 'bkt', 'pinahirapan', 'nyong', 'maglakad', 'ganyan', 'initan', 'dami', 'nyong', 'sasakyan', 'panghakot', 'us', 'scripted', 'lhat', 'tlga', 'gagamitin', 'nyo', 'sadly', 'madumb', 'still', 'loser']",Negative,0.9999998807907104
robredo's kakampinks twitter trying wash hands blood putting blame entirely victim weak daw support system life lost toxic radikal mahal campaign strategy gago,"[""robredo's"", 'kakampinks', 'twitter', 'trying', 'wash', 'hands', 'blood', 'putting', 'blame', 'entirely', 'victim', 'weak', 'daw', 'support', 'system', 'life', 'lost', 'toxic', 'radikal', 'mahal', 'campaign', 'strategy', 'gago']",Negative,0.9999997615814209
abc news young ones know dictator's dark past whitewashed australia might record debt years kleptocracy least we're philippines poised elect another thanks social media,"['abc', 'news', 'young', 'ones', 'know', ""dictator's"", 'dark', 'past', 'whitewashed', 'australia', 'might', 'record', 'debt', 'years', 'kleptocracy', 'least', ""we're"", 'philippines', 'poised', 'elect', 'another', 'thanks', 'social', 'media']",Negative,0.9999997615814209
mind even holier-than-thou mrs went meet leadership inc seek endorsement inc's blessings given santa also ask excommunication baliw talunan,"['mind', 'even', 'holier-than-thou', 'mrs', 'went', 'meet', 'leadership', 'inc', 'seek', 'endorsement', ""inc's"", 'blessings', 'given', 'santa', 'also', 'ask', 'excommunication', 'baliw', 'talunan']",Negative,0.9999997615814209
marcosjr duwag ayaw umattend debate kayang ipagtanggol pamilya nya pamilya nya nga nya kayang ipagtanggol panindigan sambayanang pilipino gising pilipinas win,"['marcosjr', 'duwag', 'ayaw', 'umattend', 'debate', 'kayang', 'ipagtanggol', 'pamilya', 'nya', 'pamilya', 'nya', 'nga', 'nya', 'kayang', 'ipagtanggol', 'panindigan', 'sambayanang', 'pilipino', 'gising', 'pilipinas', 'win']",Negative,0.9999996423721313
marcosjr duwag ayaw umattend debate kayang idipensa pamilya nya pamilya nya nga nya kayang ipagtanggol panindigan sambayanang pilipino gising pilipinas win,"['marcosjr', 'duwag', 'ayaw', 'umattend', 'debate', 'kayang', 'idipensa', 'pamilya', 'nya', 'pamilya', 'nya', 'nga', 'nya', 'kayang', 'ipagtanggol', 'panindigan', 'sambayanang', 'pilipino', 'gising', 'pilipinas', 'win']",Negative,0.9999996423721313
marcosjr duwag ayaw umattend debate kayang ipagtanggol pamilya nya pamilya nya nga nya kayang ipagtanggol panindigan sambayanang pilipino gising pilipinas win,"['marcosjr', 'duwag', 'ayaw', 'umattend', 'debate', 'kayang', 'ipagtanggol', 'pamilya', 'nya', 'pamilya', 'nya', 'nga', 'nya', 'kayang', 'ipagtanggol', 'panindigan', 'sambayanang', 'pilipino', 'gising', 'pilipinas', 'win']",Negative,0.9999996423721313
marcosjr duwag ayaw umattend debate kayang ipagtanggol pamilya nya pamilya nya nga nya kayang ipagtanggol panindigan sambayanang pilipino gising pilipinas win,"['marcosjr', 'duwag', 'ayaw', 'umattend', 'debate', 'kayang', 'ipagtanggol', 'pamilya', 'nya', 'pamilya', 'nya', 'nga', 'nya', 'kayang', 'ipagtanggol', 'panindigan', 'sambayanang', 'pilipino', 'gising', 'pilipinas', 'win']",Negative,0.9999996423721313
puppet plotter,"['puppet', 'plotter']",Negative,0.9999996423721313
marcosjr duwag ayaw umattend debate kayang idipensa pamilya nya pamilya nya nga nya kayang ipagtanggol panindigan sambayanang pilipino gising pilipinas win,"['marcosjr', 'duwag', 'ayaw', 'umattend', 'debate', 'kayang', 'idipensa', 'pamilya', 'nya', 'pamilya', 'nya', 'nga', 'nya', 'kayang', 'ipagtanggol', 'panindigan', 'sambayanang', 'pilipino', 'gising', 'pilipinas', 'win']",Negative,0.9999996423721313
