Token,TFIDF_Value
aaaaaaaaaaaaaaaaaa,6.351858133476067
napatunayan,6.351858133476067
natulungan,6.351858133476067
native,6.351858133476067
national,6.351858133476067
natin--ang,6.351858133476067
nasusukat,6.351858133476067
narinig,6.351858133476067
narido,6.351858133476067
nanjun,6.351858133476067
nb,6.351858133476067
nangangailangan,6.351858133476067
nandito,6.351858133476067
nanay,6.351858133476067
nananawagan,6.351858133476067
namatagal,6.351858133476067
naloloka,6.351858133476067
nalalapit,6.351858133476067
nawa,6.351858133476067
ncr,6.351858133476067
naki-isa,6.351858133476067
nina,6.351858133476067
noong,6.351858133476067
non-partisan,6.351858133476067
nobody,6.351858133476067
nobel,6.351858133476067
nmin,6.351858133476067
nkiki-isa,6.351858133476067
nio,6.351858133476067
night,6.351858133476067
needed,6.351858133476067
nice,6.351858133476067
ngunit,6.351858133476067
ngiti,6.351858133476067
nga!hahaha,6.351858133476067
news,6.351858133476067
negosyo,6.351858133476067
negative,6.351858133476067
nakikita,6.351858133476067
nakawin,6.351858133476067
miriam's,6.351858133476067
motherland,6.351858133476067
must,6.351858133476067
musicians,6.351858133476067
music,6.351858133476067
mundo,6.351858133476067
mr,6.351858133476067
motivating,6.351858133476067
mothers,6.351858133476067
motherfucker,6.351858133476067
n'yo,6.351858133476067
mostly,6.351858133476067
monday's,6.351858133476067
momshies,6.351858133476067
momentum,6.351858133476067
moment,6.351858133476067
mom,6.351858133476067
mode,6.351858133476067
myembro,6.351858133476067
na'ng,6.351858133476067
nakatulong,6.351858133476067
nagsisigaw,6.351858133476067
nakakulong,6.351858133476067
nakakashock,6.351858133476067
nakakaproud,6.351858133476067
nailed,6.351858133476067
naiintindahan,6.351858133476067
nagtanong,6.351858133476067
nagsisilbing,6.351858133476067
nagpipicture,6.351858133476067
naaa,6.351858133476067
nagmamahal,6.351858133476067
naglingkod,6.351858133476067
nagising,6.351858133476067
naghihirap,6.351858133476067
nagbigay,6.351858133476067
naga,6.351858133476067
nag,6.351858133476067
noted,6.351858133476067
nuebe,6.351858133476067
number,6.351858133476067
panels,6.351858133476067
parang,6.351858133476067
papattoo,6.351858133476067
papasok,6.351858133476067
papansin,6.351858133476067
pangilanan,6.351858133476067
pangalan,6.351858133476067
pang,6.351858133476067
pandemic,6.351858133476067
part,6.351858133476067
panaligan,6.351858133476067
panalangin,6.351858133476067
pamumuno,6.351858133476067
pamangkin,6.351858133476067
pamamahala,6.351858133476067
palang,6.351858133476067
palakasin,6.351858133476067
park,6.351858133476067
parties,6.351858133476067
nursing,6.351858133476067
patutunayan,6.351858133476067
people's,6.351858133476067
penas,6.351858133476067
pena,6.351858133476067
peace,6.351858133476067
payroll,6.351858133476067
payapang,6.351858133476067
paulit,6.351858133476067
patungo,6.351858133476067
party,6.351858133476067
patunay,6.351858133476067
patulan,6.351858133476067
patriotic,6.351858133476067
pateros,6.351858133476067
past,6.351858133476067
passed,6.351858133476067
partylist,6.351858133476067
pakiramdam,6.351858133476067
pakikipag-usap,6.351858133476067
pahiram,6.351858133476067
oki,6.351858133476067
ot,6.351858133476067
oras,6.351858133476067
opportunity,6.351858133476067
ones,6.351858133476067
omg,6.351858133476067
oli,6.351858133476067
older,6.351858133476067
okay,6.351858133476067
pagtitiis,6.351858133476067
ok,6.351858133476067
ohmnanon,6.351858133476067
ofw,6.351858133476067
offer,6.351858133476067
obviously,6.351858133476067
nya,6.351858133476067
nurtured,6.351858133476067
outside,6.351858133476067
overflowing,6.351858133476067
overseas,6.351858133476067
overwhelming,6.351858133476067
pagtindig,6.351858133476067
pagsama,6.351858133476067
pagpplano,6.351858133476067
pagod,6.351858133476067
pagkatok,6.351858133476067
pagkapangulo,6.351858133476067
pagkakakilanlan,6.351858133476067
pagkabata,6.351858133476067
pagka,6.351858133476067
pages,6.351858133476067
pagbibigay,6.351858133476067
pagbalibaliktarin,6.351858133476067
pag-unlad,6.351858133476067
pag-ibig,6.351858133476067
paet,6.351858133476067
misinformation,6.351858133476067
minamahal,6.351858133476067
peter,6.351858133476067
lng,6.351858133476067
loved,6.351858133476067
loud,6.351858133476067
lopez,6.351858133476067
loob,6.351858133476067
long,6.351858133476067
lola,6.351858133476067
local,6.351858133476067
live,6.351858133476067
lucy,6.351858133476067
litratong,6.351858133476067
lipunan,6.351858133476067
link,6.351858133476067
linaw,6.351858133476067
