Data of Tweet,Tweet Content
2022-03-19 23:58:33+00:00,"@PhilstarNews Ping Lacson is your typical 'nice from afar, far from nice'."
2022-03-19 23:56:48+00:00,People say ang hirap intindihin ni Leni Robredo pag nagsasalita. Minsan naisip ko dapat she uses conversational statements. Pero naisip ko din na ang hindi makaintindi sa kanya ang tunay na bobo at sayang ang boto. #LeniRobredoForPresident #LeniKikoTeam2022
2022-03-19 23:56:12+00:00,@phanonymous75 Despite of your so called claimed 15% dropped from Leni Robredo the fact she still continuing attending debates clearly states she got what it takes. just so you know debate measures someone's intellectual capability and how will he defend him/herself #MarcosDuwag
2022-03-19 23:56:02+00:00,"@MarybethJames15 @GilbertCRemulla Bongbong Marcos ang defendant ng ill gotten wealth cases, so it does matter. 

Pero even if we remove this from the equation, competency, character, and experience na lang, hindi pa rin sya sapat."
2022-03-19 23:56:00+00:00,"wow, there are impromptu Leni Robredo rallies now even inside bars?! galing! https://t.co/o33ICo2V4M"
2022-03-19 23:54:38+00:00,@PhilstarNews Bongbong Marcos&amp; Sara Zimmerman Duterte are damaged goods.Nobody believes them anymore-not even their spouses-not even their pets.NEVER AGAIN TO KLEPTOCRACY!NEVER AGAIN TO AUTOCRACY!Huwag iboto ang mga magnanakaw!Huwag iboto ang mga ANAK NG MGA MAGNANAKAW AT EXTRAJUDICIAL KILLER!
2022-03-19 23:54:09+00:00,"Taytay Inter-Campus Alliance for Leni Robredo x Lipad Kabataan peeps preparing for the #PasigLabanParaSaTRoPa! 🌸

Supported our Doctors for Leni Robredo (TMC) by helping out with their flaglets, banners etc. ✊

Lalaban kami latee! Sama ba kayo?

Let's g na! 💓 https://t.co/teHW05ws4s"
2022-03-19 23:53:48+00:00,"Personal information:

Full name: Maria Leonor Santo Tomas Gerona Robredo
Nickname: Leni
Date of birth: April 23, 1964
Religion: Catholic
Spouse: Jesse Robredo (m. 1987; died 2012)

In her late husband's words ""My conscience""

#10RobredoPresident
#PasigLaban 
#PasigIsPink https://t.co/W77IQunHNm"
2022-03-19 23:53:38+00:00,"LUTANG INA: Lahat ng infrastructure consiďered sya sa infrastructure program . 🤣🤣🤣
Nadale sya kay Ping Lacson @lenirobredo 

#LenLenLoser"
2022-03-19 23:52:14+00:00,"@SabadoAgosto Tahimik lang kaming taga-Ligid-Tipas pero majority sa amin ay para kay Leni Robredo. 

Karamihan sa sumusuporta sa kanya dito sa Taguig ay mga taál na taga-rito, pati rin kaming mga kabataan.

Kung kami ay may Tipas Hopia (#Kakampink din ang owner), si @lenirobredo ay HOPE, yeah!"
