Token,TFIDF_Value
aagos,6.087596335232384
malasakit,6.087596335232384
mama,6.087596335232384
mamahal,6.087596335232384
strong,6.087596335232384
mamaya,6.087596335232384
strategies,6.087596335232384
storybrooke,6.087596335232384
manda,6.087596335232384
mandate,6.087596335232384
mandsci,6.087596335232384
manggagawang,6.087596335232384
story,6.087596335232384
manindigan,6.087596335232384
manok,6.087596335232384
manunulat,6.087596335232384
stopped,6.087596335232384
stop,6.087596335232384
marian,6.087596335232384
mario,6.087596335232384
marquis,6.087596335232384
martine,6.087596335232384
mary,6.087596335232384
mas,6.087596335232384
masasabi,6.087596335232384
masigurong,6.087596335232384
master,6.087596335232384
stereotypes,6.087596335232384
matalino,6.087596335232384
matalo,6.087596335232384
matanggal,6.087596335232384
malinis,6.087596335232384
malaking,6.087596335232384
madame,6.087596335232384
malakas,6.087596335232384
mag-aaral,6.087596335232384
magaling,6.087596335232384
sumigaw,6.087596335232384
magkahawak,6.087596335232384
magkaroon,6.087596335232384
magsaysay,6.087596335232384
sumagot,6.087596335232384
magwawagi,6.087596335232384
sulong,6.087596335232384
mahalaga,6.087596335232384
mahalagang,6.087596335232384
mahigit,6.087596335232384
mahilig,6.087596335232384
main,6.087596335232384
major,6.087596335232384
success,6.087596335232384
maka,6.087596335232384
makakaya,6.087596335232384
makamit,6.087596335232384
makapagsebisyo,6.087596335232384
makauwi,6.087596335232384
make,6.087596335232384
makes,6.087596335232384
maki,6.087596335232384
subok,6.087596335232384
makinig,6.087596335232384
malabon,6.087596335232384
students,6.087596335232384
malakanyang,6.087596335232384
matatag,6.087596335232384
matatalino,6.087596335232384
matatanggal,6.087596335232384
mateo,6.087596335232384
ms,6.087596335232384
stan,6.087596335232384
mukha,6.087596335232384
muling,6.087596335232384
multistan,6.087596335232384
mumshie,6.087596335232384
muna,6.087596335232384
mundo,6.087596335232384
music,6.087596335232384
musicians,6.087596335232384
must,6.087596335232384
musunod,6.087596335232384
mwahhhh,6.087596335232384
st,6.087596335232384
na'ng,6.087596335232384
spent,6.087596335232384
na_na,6.087596335232384
nadine,6.087596335232384
nafeel,6.087596335232384
nag,6.087596335232384
